kuran|Kuran
tavus-kusu|tavus kuşu
tavsan|tavşan
tas|taş
tekne|tekne
telefon|telefon
telefon-calmasi|telefon çalması
televizyon|televizyon
temiz-su|temiz su
temizlik-yapmak|temizlik yapmak
tepe|tepe
tilki|tilki
timsah|timsah
tohum|tohum
toprak|toprak
tren|tren
turuncu|turuncu
tuvalet|tuvalet
tuz|tuz
tirmanmak|tırmanmak
tirnak|tırnak
dusmek|uckmak-dusmek
ucmak|ucmak
uzun-sac|uzun saç
ucak|uçak
ucak-dusmesi|uçak düşmesi
ucakla-ucmak|uçakla uçmak
ucan-kus|uçan kuş
ucagi-kacirmak|uçağı kaçırmak
ucurum|uçurum
ucurumdan-dusmek|uçurumdan düşmek
volkan|volkan
yagmur|yagmur
yakalanmak|yakalanmak
yangin|yangin
yangin-cikmasi|yangın çıkması
yanmak|yanmak
yaprak|yaprak
yara|yara
yarasa|yarasa
yatak|yatak
yatak-odasi|yatak odası
yazi-gormek|yazı görmek
yagmurda-yurumek|yağmurda yürümek
yasli-adam|yaşlı adam
yasli-kadin|yaşlı kadın
yelkenli|yelkenli
yemek-pisirmek|yemek pişirmek
yeni-araba|yeni araba
yeni-ayakkabi|yeni ayakkabı
yeni-ev|yeni ev
yeni-eve-tasinmak|yeni eve taşınmak
yesil|yeşil
yesil-yaprak|yeşil yaprak
yilan|yilan
yol|yol
yolculuk|yolculuk
yolda-kaybolmak|yolda kaybolmak
yumurta|yumurta
yunus|yunus
yon-bulamamak|yön bulamamak
yukseklik|yükseklik
yuksekten-dusmek|yüksekten düşmek
yuz|yüz
yuzmek|yüzmek
yuzuk|yüzük
yuzuk-takmak|yüzük takmak
yilan-oldurmek|yılan öldürmek
yilan-isirmasi|yılan ısırması
yildiz|yıldız
yildiz-kaymasi|yıldız kayması
yirtik-elbise|yırtık elbise
zengin-olmak|zengin olmak
zeytin|zeytin
zombi|zombi
cadir|çadır
calismak|çalışmak
camur|çamur
canta|çanta
carsi|çarşı
cati|çatı
cay|çay
cay-icmek|çay içmek
cikolata|çikolata
cimen|çimen
cicek|çiçek
cicek-acmasi|çiçek açması
cicek-toplamak|çiçek toplamak
cocukla-oynamak|çocukla oynamak
cok-sayida-yilan|çok sayıda yılan
corap|çorap
col|çöl
curuk-dis|çürük diş
ciplaklik|çıplaklık
okuz|öküz
olmek|ölmek
olmus-anne-gormek|ölmüş anne görmek
olmus-baba-gormek|ölmüş baba görmek
olmus-yakini-gormek|ölmüş yakını görmek
olu|ölü
olu-ile-konusmak|ölü ile konuşmak
olu-kus|ölü kuş
opmek|öpmek
ordek|ördek
orumcek|örümcek
ozgur-kalmak|özgür kalmak
ogretmen-olmak|öğretmen olmak
uzum|üzüm
isiran-kopek|ısıran köpek
isik-gormek|ışık görmek
sapka|şapka
sarap|şarap
seker|şeker
selale|şelale
semsiye|şemsiye
seytan|şeytan
simsek|şimşek
